Class,Umbral
0,0.22974064435071345
1,0.1722166162125799
2,0.24405604506716744
3,0.20107029606053678
4,0.24077817287780406
5,0.20398406374501993
6,0.2275949882088799
7,0.25434674615002484
8,0.24425583846452542
9,0.2177743750531676
10,0.1571474324757126
11,0.24348431247462737
12,0.25346534653465347
13,0.25396825396825395
14,0.225278546590022
15,0.2316070289392797
16,0.22622168546938054
17,0.25308947108255064
18,0.23627598260135302
19,0.24230575274448196
20,0.17184636876576137
21,0.2004810650556581
22,0.25184456468273486
23,0.24498389103320678
24,0.20633904653533414
25,0.23775028790073927
26,0.22455309727498984
27,0.2535908865775136
28,0.2554890219560878
29,0.24462494027711418
30,0.1626220645379287
31,0.20766065210509654
32,0.2507345739471107
33,0.19013666072489604
34,0.18884948219605618
35,0.25184456468273486
36,0.256
37,0.25036674816625915
38,0.19013666072489604
39,0.21204190788372235
40,0.20707785642062687
41,0.24896042924211936
42,0.16129032258064513
43,0.19917012448132776
44,0.23232981593472324
45,0.25574425574425574
46,0.2069847451054807
47,0.25346534653465347
48,0.21543310204856153
49,0.24948835396160218
50,0.15270331194728626
51,0.23746541494074558
52,0.25308947108255064
53,0.2335056248099726
54,0.25184456468273486
55,0.2184724000155165
56,0.22186913187924312
57,0.25396825396825395
58,0.25308947108255064
59,0.25434674615002484
60,0.21206096752816433
61,0.2511034820990682
62,0.24462494027711418
63,0.2338709677419355
64,0.17646224024328433
65,0.19722250380131778
66,0.1651489963526288
67,0.255107125062282
68,0.22288850056715415
69,0.20144986121217023
70,0.1564951604686704
71,0.25434674615002484
72,0.23521965064164735
73,0.2517207472959685
74,0.23680211430459197
75,0.21786581163285484
76,0.23911108761355926
77,0.2508574228319451
78,0.2113567562608935
79,0.21552361396303904
80,0.20185528756957327
81,0.25209256523879864
82,0.208130081300813
83,0.23188405797101452
84,0.2535908865775136
85,0.2522167487684729
86,0.18226128864426738
87,0.20887859559271182
88,0.19241586655028609
89,0.19904195246661
90,0.2537165510406343
91,0.1858101977862457
92,0.20707785642062687
93,0.2101902111937235
94,0.2243556547026252
95,0.2533399307273627
96,0.25209256523879864
97,0.22106496779366802
98,0.22518092039502619
99,0.20144986121217023
100,0.23926631228459605
101,0.22186913187924312
